,0
0,13864.641780773467
1,9096.14669495455
2,9108.686039611492
3,9115.847702308507
4,9209.19639162707
5,13947.74931728062
6,23859.164121860664
7,27837.600076211627
8,25869.042663598902
9,21217.165689353715
10,25879.599991706298
11,26354.661352370265
12,25906.991879437333
13,21235.69879909108
14,21239.330153392213
15,21234.312399331942
16,27170.832216598
17,28487.80791074589
18,28489.544039401953
19,23918.714800637394
20,23905.595578698518
21,23859.942233717593
22,23790.70086876709
23,24290.710058458997
24,13877.600942967294
25,9099.213091586758
26,9113.661786451625
27,9120.83535626693
28,9214.025985888486
29,13947.225472400414
30,23864.067643363553
31,27851.360853932503
32,25881.584082839836
33,21232.00845579547
34,25885.797196455682
35,26362.35486013964
36,25924.937639663593
37,21255.964788959274
38,21255.445813761253
39,21246.051892479358
40,27177.19201531479
41,28499.217464291567
42,28503.626390063982
43,23931.71993287946
44,23910.27053570538
45,23859.42729588362
46,23787.362422122333
47,24286.502367333636
48,13874.81365862906
49,9094.741338218351
50,9106.82208800951
51,9112.620463303758
52,9524.497498909348
53,14261.103731843148
54,23997.314315824282
55,27836.75637271716
56,25866.991701293988
57,21216.44267198778
58,25868.703226874644
59,26348.17283006481
60,25901.165745712384
61,21227.363338014624
62,21227.00864626558
63,21219.39672430672
64,27147.79473780201
65,28467.785529213317
66,28471.896267699438
67,23812.65042081138
68,23806.457899404297
69,23782.37620919231
70,23778.79902389411
71,24281.74964448379
72,13871.0116107871
73,9083.065921144118
74,9093.921889964844
75,9101.407454851504
76,9194.546747836295
77,13938.164515637633
78,23852.038373069732
79,27833.546289403974
80,25863.89266412624
81,21213.21322796113
82,25865.19782590931
83,26343.84007382375
84,25895.74043527929
85,21222.148740717123
86,21222.765904608917
87,21215.013103489924
88,27143.079984808246
89,28462.25774426923
90,28467.53676547436
91,23897.717830479083
92,23886.389185709024
93,23843.337288304643
94,23775.99652179906
95,24279.170452100174
96,13868.42452380393
97,9078.697692001357
98,9088.150068103409
99,9094.768506572762
100,9187.175608058225
101,13932.621202370265
102,23848.16354087089
103,27829.692041550465
104,25860.0878646654
105,21209.464311830103
106,25861.089000512613
107,26340.573976742824
108,25891.516023255423
109,21218.415017497595
110,21218.811747523425
111,21211.26024937611
112,27139.089814435403
113,28458.106930286383
114,28462.41617043467
115,23893.353458571826
116,23882.155487747837
117,23839.529010499376
118,23772.260015904
119,24275.877466174654
120,13864.889041370729
121,9072.48118244047
122,9081.935223178776
123,9090.533808587556
124,9505.40268002829
125,14250.258384395545
126,23990.749953187922
127,27831.041626760772
128,25861.14103281826
129,21211.25188892686
130,25863.456442468643
131,26342.763749835205
132,25895.524498415747
133,21222.16220066774
134,21222.421231734046
135,21214.657107361723
136,27144.165600945442
137,28462.410126811246
138,28468.155500832472
139,23809.083546319842
140,23803.661999952306
141,23779.822669598754
142,23776.340325087825
143,24279.629854438765
144,13869.188306124139
145,9079.636540638232
146,9090.036014022484
147,9097.932035972755
148,9191.727009302405
149,13938.76520708409
150,23851.278062882608
151,27827.498268362004
152,25856.758082825032
153,21211.50231730207
154,25867.531434754575
155,26347.147221580097
156,25898.708164945376
157,21225.31428879914
158,21226.543268628186
159,21219.857070767368
160,27147.82221051156
161,28467.582990187104
162,28471.421119641043
163,23901.914751159416
164,23889.646605562903
165,23846.792228430648
166,23779.438784601938
167,24282.3415531106
168,13872.576753969857
169,9085.539508506767
170,9096.247858875058
171,9104.036878255267
172,9197.5567145417
173,13942.38484060681
174,23854.128392213363
175,27830.75382481709
176,25859.812435689702
177,21210.94747167727
178,25870.772407008437
179,26347.25686396512
180,25900.33533446264
181,21225.594748951575
182,21226.029020251768
183,21218.24453514196
184,27148.060029888264
185,28466.419080243926
186,28469.526664200806
187,23899.910106737185
188,23888.046672724668
189,23845.06682052898
190,23777.864330636545
191,24281.266278836712
192,13871.82830742172
193,9086.311160581214
194,9098.586927478791
195,9106.769875575312
196,9200.693709142874
197,13942.055664998577
198,23855.74181605886
199,27837.68735159979
200,25867.771030571468
201,21217.134725877095
202,25870.732493006275
203,26349.87592066026
204,25903.739931764576
205,21228.515831534525
206,21227.651338720847
207,21219.96974428109
208,27149.450640928677
209,28470.24697963849
210,28474.9549622833
211,23904.57053544478
212,23892.309153985887
213,23848.839904942357
214,23781.179099693964
215,24284.166087616763
216,13874.47527161946
217,9090.99082577569
218,9103.94131074247
219,9112.219894676411
220,9526.327946601019
221,14263.570691717421
222,24000.908650602712
223,27840.945901915606
224,25873.90342009948
225,21224.984330563413
226,25877.825899405474
227,26356.27487559704
228,25909.775244426764
229,21235.719669157566
230,21234.947402161517
231,21227.491980856015
232,27158.70504954289
233,28478.992419506198
234,28483.853163584114
235,23823.96545034759
236,23817.634099519048
237,23792.209650347668
238,23786.95758631175
239,24288.15344425743
240,13877.171603462573
241,9098.987520951456
242,9113.685103781863
243,9121.777161496557
244,9215.555612690236
245,13946.955689523065
246,23862.554538697772
247,27847.625615148623
248,25877.54614734458
249,21228.326336299866
250,25881.530988396873
251,26360.567034589712
252,25915.813476413732
253,21244.494103510508
254,21248.25389567916
255,21245.32178798668
256,26521.255391008566
257,28495.18388914949
258,28493.10706286932
259,23917.762138004127
260,23904.73973205524
261,23859.16784865825
262,23789.28531923949
263,24289.6140383452
264,13877.622061486958
265,9099.788931504638
266,9113.78592607926
267,9121.021528440406
268,9214.002680980908
269,13946.47555376723
270,23859.172774242397
271,27841.73011950925
272,25871.91942834721
273,21222.53206048297
274,25877.024898800028
275,26357.691282288084
276,25911.107655311524
277,21238.333967974453
278,21237.392833568396
279,21228.793080429703
280,26502.932603093046
281,28478.16845561628
282,28484.210780869267
283,23913.174897389817
284,23901.547170902046
285,23857.90906687116
286,23790.018510762835
287,24292.210877115394
288,13881.34012594529
289,9103.331184286786
290,9118.500200800663
291,9124.99769226565
292,9535.618896465574
293,14265.997799702824
294,24000.779740674167
295,27839.868037517394
296,25869.71506484227
297,21218.686402897903
298,25870.846924326193
299,26350.78356357867
300,25903.223981483927
301,21228.763148033748
302,21228.612659947175
303,21221.095845862743
304,26491.836578817063
305,28470.564080422537
306,28475.27078353351
307,23815.364094685938
308,23809.162709711924
309,23785.227240403274
310,23781.96655339018
311,24285.089612904227
312,13876.069415498776
313,9093.903274610897
314,9107.993805593629
315,9118.061109508924
316,9214.56051425511
317,13955.810945693014
318,23877.91851020477
319,27851.96767596099
320,25874.88537536178
321,21224.559096747373
322,25876.957530722306
323,26353.25794599147
324,25906.93704582216
325,21231.515735886445
326,21230.83815439443
327,21223.624384855815
328,26494.884111642146
329,28471.22396583734
330,28474.80333131213
331,23904.9777315605
332,23892.10008685257
333,23848.375185705874
334,23780.54810317179
335,24283.52227712222
336,13873.64774242652
337,9088.308165068394
338,9099.77301186761
339,9107.374132324796
340,9200.728623024937
341,13943.171505464206
342,23854.836601770214
343,27831.58252795127
344,25862.859359804515
345,21212.581069920372
346,25872.26823175607
347,26349.8532555196
348,25902.068071732905
349,21228.327802173586
350,21230.390255437724
351,21222.432436972125
352,26496.61302894488
353,28472.915931941992
354,28475.970297229323
355,23905.455699562408
356,23893.532251686076
357,23849.65455804963
358,23781.733050887346
359,24284.62312965022
360,13875.630895649332
361,9094.510736406304
362,9107.371157098054
363,9115.41840628309
364,9209.191198955765
365,13947.642606643036
366,23858.40966895708
367,27836.451837452307
368,25866.61849978359
369,21215.595514994217
370,25875.649505516427
371,26353.049711176274
372,25905.998017056732
373,21233.72402495151
374,21233.210540568594
375,21225.197627611997
376,26499.975414052806
377,28474.996478808425
378,28478.2138914902
379,23909.180267282525
380,23897.38020746299
381,23853.506017016276
382,23784.468868150896
383,24286.36099747849
384,13877.132875824313
385,9098.762099388056
386,9113.494273111402
387,9122.267260224611
388,9536.272309675234
389,14268.925025290462
390,24009.643972214973
391,27852.74817917971
392,25880.198937769215
393,21227.88654933924
394,25884.219195821246
395,26359.341483414442
396,25913.16263013517
397,21240.029300619597
398,21238.824358634985
399,21225.146334454534
400,26496.787660468493
401,28473.92365800961
402,28477.437189605018
403,23817.74926998716
404,23809.95739960679
405,23784.24543421288
406,23779.70331269469
407,24281.695568650794
408,13870.502629617937
409,9084.016770069224
410,9094.14780222326
411,9099.855628758793
412,9191.791364885408
413,13935.203761294366
414,23849.489392591888
415,27830.896151216948
416,25861.287464906796
417,21210.283101682704
418,25862.326620300737
419,26341.766533336788
420,25893.20895211612
421,21220.292068793093
422,21220.86399557351
423,21213.333038292232
424,26483.093020982134
425,28460.710253684374
426,28464.814464063395
427,23895.517988821888
428,23884.129802249037
429,23841.149440724344
430,23773.61425339996
431,24276.94962236123
432,13865.51805647885
433,9073.26318880088
434,9082.064580323033
435,9089.842816835557
436,9183.444891122084
437,13930.707386216563
438,23847.616825876154
439,27829.608051955507
440,25860.316379470794
441,21209.365309452194
442,25861.871087620308
443,26340.950029253374
444,25892.195281806355
445,21219.60808342056
446,21220.921611864203
447,21213.759029890454
448,26484.47493616151
449,28461.889977671977
450,28466.528666726987
451,23897.19921553816
452,23886.12505514135
453,23843.478030815528
454,23776.324032771037
455,24279.59541261773
456,13869.190585681994
457,9079.604757266141
458,9089.79238084154
459,9098.096039911916
460,9512.663910334179
461,14256.021379958029
462,23993.8036290177
463,27833.7987985745
464,25863.66734815544
465,21213.69681100473
466,25866.897525118955
467,26347.057579675467
468,25900.612235523382
469,21225.713882247783
470,21225.5178340607
471,21217.706075003884
472,26490.51821174788
473,28467.25444192313
474,28473.45984562721
475,23814.333113401375
476,23808.941182652004
477,23784.563311413087
478,23780.48361093954
479,24283.496115003163
480,13873.84562916708
481,9090.771584484957
482,9103.921695364501
483,9112.66315377012
484,9207.128584197062
485,13947.812641782959
486,23860.090796292086
487,27841.163528260717
488,25873.33941897527
489,21226.841263363272
490,25883.91334996591
491,26357.053720390824
492,25905.53674510802
493,21229.166797480437
494,21228.85997023507
495,21220.79908718219
496,26488.99713173526
497,28464.91339190535
498,28467.602568297098
499,23897.60810113545
500,23885.196306125938
501,23842.047909509358
502,23773.87434660358
503,24277.00840017051
504,13865.34384732563
505,9073.136254075056
506,9080.985759380108
507,9088.611321418135
508,9181.86600226756
509,13931.356569510961
510,23846.231805032123
511,27822.40097822989
512,25852.456252792617
513,21202.594426327534
514,25858.831896610485
515,26340.36946251389
516,25890.681090157945
517,21217.79720762755
518,21219.454570416605
519,21211.978086493404
520,25825.387776556217
521,28459.97127320211
522,28463.203742146143
523,23894.49848607389
524,23883.279235235677
525,23841.061711909137
526,23774.113377189504
527,24277.860780892028
528,13867.874498170671
529,9078.03793702447
530,9088.449292681697
531,9097.00762867653
532,9191.196083506782
533,13936.949616892132
534,23851.996887601254
535,27834.477206173313
536,25865.05428830023
537,21214.318049528556
538,25868.492905052804
539,26344.346023864207
540,25896.048535847167
541,21222.927125872542
542,21222.91771570863
543,21214.95154300511
544,25828.126513144543
545,28463.15000793626
546,28469.291757937546
547,23898.770514148266
548,23887.4996968541
549,23844.617368739946
550,23777.3745300523
551,24280.57267211507
552,13870.32650116396
553,9081.979516168101
554,9092.127014556145
555,9099.244626505677
556,9512.71565070735
557,14254.99604477181
558,23992.580450570225
559,27832.426709718093
560,25862.262985231933
561,21212.13145042545
562,25865.503044420384
563,26347.227366362218
564,25899.584347480817
565,21223.75071087137
566,21224.204038529893
567,21216.70847961437
568,25829.605213257262
569,28465.73085253347
570,28470.150362411037
571,23811.077693595536
572,23805.362506634767
573,23781.53628218606
574,23778.17224486454
575,24281.410822681137
576,13871.189702021138
577,9083.719601440938
578,9095.092408762408
579,9103.076432826374
580,9196.83513820417
581,13940.038032686754
582,23854.18869179832
583,27836.182781300486
584,25866.455526925096
585,21215.558948898553
586,25867.95371197787
587,26349.052391563397
588,25901.050985192014
589,21226.129836337837
590,21226.360351191273
591,21218.672091995166
592,25833.729697415154
593,28468.993378100047
594,28473.880582440834
595,23903.18801155513
596,23891.428561406632
597,23848.053364311545
598,23780.560544464402
599,24283.45729419496
600,13873.55795766131
601,9089.221348492549
602,9101.59794389885
603,9109.812203306436
604,9203.604971614179
605,13942.974904468814
606,23856.755051575583
607,27840.410640612125
608,25870.71141796592
609,21220.4556379392
610,25876.16671669693
611,26353.031238682903
612,25908.964796389435
613,21231.639645694893
614,21230.79854474741
615,21221.784570479544
616,25836.889823006684
617,28473.836283240176
618,28477.641250406916
619,23906.774830625098
620,23894.37424706499
621,23849.89870055958
622,23781.189441557268
623,24283.830477071366
624,13873.190240754697
625,9089.618693439983
626,9101.731301139185
627,9108.323794886002
628,9520.403027894694
629,14259.228314127256
630,23992.76350465639
631,27176.0816283963
632,25862.496406987488
633,21213.35120021914
634,25865.304896803995
635,26346.013666403276
636,25897.680376284075
637,21222.787234313775
638,21223.840967697608
639,21216.53219587716
640,25829.667835879387
641,28465.012611679784
642,28468.345393592204
643,23809.15792698835
644,23802.423373928836
645,23778.423201202742
646,23774.8233756092
647,24278.114426735825
648,13866.848212651066
649,9077.161518458512
650,9087.036476138992
651,9094.550538604537
652,9187.589257745103
653,13934.730458000773
654,23848.030736438865
655,27166.274262401395
656,25852.55373960617
657,21206.284993231
658,25862.455169972185
659,26339.12989857969
660,25889.643189452527
661,21216.99469766908
662,21217.896321809385
663,21210.7680822754
664,25823.449133719252
665,28456.820154038083
666,28460.241683423723
667,23890.93324516196
668,23879.150993223553
669,23836.81760376002
670,23769.193209324058
671,24272.731508625286
672,13861.373553206588
673,9066.13275045632
674,9073.66931656796
675,9081.669154676358
676,9175.177972064592
677,13927.134275550392
678,23843.252044021163
679,27161.804620884956
680,25849.68608687797
681,21199.711158317437
682,25858.43897412952
683,26336.479182739044
684,25886.19569671037
685,21213.535403401223
686,21215.04847079903
687,21207.312856428245
688,25820.634202754252
689,28455.010595046893
690,28457.95897021084
691,23888.750472237705
692,23877.12810612713
693,23834.568618065307
694,23767.328350867996
695,24271.189297670353
696,13859.365964614262
697,9063.404964441568
698,9071.035781264194
699,9078.575185953332
700,9171.698577935083
701,13921.397734039449
702,23841.223001497387
703,27165.643284513215
704,25852.436475920087
705,21202.5428847169
706,25855.070626145454
707,26335.3046203661
708,25886.269518359244
709,21213.989041626217
710,21215.366229983985
711,21208.073862284247
712,25821.49363954587
713,28455.912386893087
714,28460.274665582365
715,23890.89156093094
716,23879.586848412724
717,23836.514155477802
718,23768.875394237137
719,24272.556386406657
720,13860.84466472698
721,9065.42262159871
722,9073.484504675605
723,9081.404079986629
724,9495.717571628238
725,14241.636512713174
726,23985.57552455708
727,27167.601747702007
728,25855.595887208747
729,21206.080553538017
730,25860.208625329884
731,26338.160179636136
732,25889.309939212268
733,21216.98731239853
734,21217.716100089394
735,21209.99691468464
736,25825.67628038011
737,28459.050089585802
738,28464.909068820147
739,23806.65015246917
740,23801.529122636424
741,23778.14848652992
742,23775.035262686026
743,24278.478559705425
744,13868.293533080063
745,9078.206841702458
746,9088.67657764389
747,9097.090376005628
748,9191.159293803266
749,13936.787519831072
750,23851.601300460017
751,27176.031521602737
752,25863.601812419867
753,21214.336627614528
754,25869.40083369236
755,26350.12580864982
756,25903.15517858913
757,21227.8685923862
758,21226.105841972705
759,21219.13719012274
760,25832.386379436124
761,28468.236726385887
762,28471.99704651753
763,23899.79211011424
764,23887.24613796892
765,23843.5811575161
766,23776.198557707598
767,24279.538032357545
768,13868.301309664363
769,9080.634198141035
770,9092.640828139512
771,9101.930604062827
772,9197.356274944796
773,13942.536682763177
774,23857.074655525343
775,27183.468613275447
776,25871.469858542918
777,21222.435418410198
778,25877.975524117275
779,26354.476292024738
780,25909.457789596945
781,21235.63089062771
782,21235.301025561927
783,21226.61451878673
784,25844.47382504028
785,27820.37319039464
786,28482.653172028964
787,23909.701994099436
788,23897.225085724745
789,23852.19753838336
790,23782.754305230206
791,24285.1666333877
792,13874.660816448675
793,9092.390182367775
794,9105.035591684054
795,9112.380693569645
796,9525.352991506852
797,14262.311984466283
798,23998.75519515282
799,27181.565629680066
800,25868.93131309832
801,21218.73431088089
802,25873.420010973095
803,26354.01718782995
804,25909.70782665841
805,21236.613237203757
806,21235.936953879565
807,21228.003589417473
808,25843.519255528918
809,27820.78446114239
810,28485.668331405675
811,23826.012244850535
812,23820.023796668003
813,23795.120030810212
814,23790.087835409286
815,24291.071750376177
816,13879.149377674203
817,9100.892150549102
818,9115.403480458754
819,9123.13128718859
820,9216.517281751003
821,13949.426357560938
822,23860.44620855533
823,27179.905478004148
824,25865.97831670537
825,21218.785163033965
826,25872.272784660454
827,26351.406572331347
828,25902.269126251413
829,21228.3879651093
830,21228.727091267094
831,21221.25111667289
832,25833.972721885828
833,27809.598782539113
834,28471.927988958236
835,23901.237660362414
836,23888.7647520838
837,23845.47579929621
838,23777.38938755201
839,24280.281888733316
840,13869.168523040276
